Animal_ID,Treatment,Sex,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAcC,NAcSh
1,NAL+KET,M,46.386712242899,21.9660552405719,-8.75082826260244,52.7572629441924,92.4919850663999,36.4220024483071,3.93717015197793,28.8858688004263,15.3750451476702,13.9096083844187
2,NAL+KET,M,141.429732760891,67.9932695279402,116.389814053602,103.867575631122,74.2345750083877,121.279889410239,88.9154287692345,106.104509030964,82.2088063164743,64.007468289238
3,NAL+KET,M,216.299311107537,319.307324019821,176.359343842515,90.8992643502254,126.41474392298,182.331002089584,126.409181749949,114.806359002265,59.8830248468984,64.6158895688947
4,NAL+KET,M,85.896794148559,57.7290789752228,52.6266037840159,64.019785586229,60.5200993952242,80.6655815508768,68.3795695244696,63.6408743329301,34.4882363190429,24.1802804006811
5,NAL+KET,M,50.9139617536244,47.2794890637893,63.7125544073871,29.264818447194,40.016102896577,33.1177580146512,17.7819923870826,26.1906157189967,44.6659541840247,46.1699395810696
6,NAL+KET,M,255.760732064008,249.871709375027,129.294436723712,165.931495951937,157.826981241058,240.99210014146,204.68524129097,191.315455402337,101.588945146372,64.1531419966823
7,NAL+KET,M,261.779563195824,205.714194085117,105.400816359174,247.472580714859,320.237458355077,141.746518166365,45.5170752143096,119.883890868683,57.2024947403681,37.2388895712352
1,VEH+KET,M,52.9072155837876,84.6571468917684,71.7414717388567,16.6925742956944,78.0549735633245,92.3601580728286,22.9157155043847,39.6585361235223,56.6464541553793,19.1525099981421
2,VEH+KET,M,175.430033383668,144.428129659829,169.326034854993,109.0195913903,119.889262808859,207.497124536923,94.1133018265573,65.8469989769482,139.694833916234,87.3038217394459
3,VEH+KET,M,102.188650779743,126.086060866602,150.196776008172,93.0120790759781,67.954517690406,47.8490963466314,31.2241896842375,85.8787145968714,53.1461916403962,119.513882968901
4,VEH+KET,M,201.281909417401,139.389658213548,119.217966252625,139.972805766995,166.288052680513,206.146491613127,118.22530384383,106.867010423242,74.5552530445387,35.2766707340589
5,VEH+KET,M,41.4033347315187,29.4163783987693,-41.2466040295314,14.4198694767584,74.3411801988172,93.0202364036252,28.3526654900661,23.0194547880127,16.1649477666411,43.3029120772839
6,VEH+KET,M,218.065816099397,165.849392458537,65.8045929455991,205.687308968858,212.391995718216,316.476039487523,204.97062031826,136.2273479705,77.9306843980831,78.7125209380166
7,VEH+KET,M,237.004833310417,172.667264772473,84.3808640996034,310.412723532866,437.93859038223,165.818757808353,25.6374321593586,85.4405688862119,54.8635164115592,36.9780129919254
