Animal_ID,Treatment,Sex,LPtA,MPtA,RSG,RSD,Hipp,LHb,LPLR,VM,VPM,VPL
1,NAL+KET,M,-0.355640948197285,8.83604723866071,77.619191060436,29.5659383608812,70.253048938108,65.3462196208508,47.902655463694,34.8083453454706,41.5789277313387,56.480610748353
2,NAL+KET,M,84.5960653791624,110.067480495692,205.017855654539,184.884338396948,132.195435481579,114.892487200451,154.056970745521,63.3675087139889,96.2467053385982,177.300793329476
3,NAL+KET,M,115.126187975977,126.639622553893,317.361935319685,355.740614797347,168.476627092299,131.479575203372,209.372166516092,65.0747243942848,84.8794397741909,104.114208814888
4,NAL+KET,M,17.3874392388923,97.0798149271665,307.440150245761,271.822417160715,140.49089577617,15.174956346056,107.056595912281,42.6235910717083,25.5366257708658,39.2020953714321
5,NAL+KET,M,70.3825874536341,171.399140261217,252.234185590112,338.215247106709,66.853814738337,25.8109782322471,21.2943605059663,50.6095849340589,14.0876504056519,15.668762435714
6,NAL+KET,M,73.9348036193552,93.651083127528,186.52307750443,136.656172408085,74.6371161180913,66.7435291159093,47.5384492052513,23.087477872592,31.5444651763956,48.4223617166023
7,NAL+KET,M,101.990103705725,81.1601722225675,126.447594460797,361.272675386504,56.0025534211915,44.90995622424,52.9941111816713,31.5580581680263,22.9204875995007,21.3004433205967
8,NAL+KET,M,99.8641161970231,114.533797338549,402.780713165304,300.93722566701,130.529838200062,156.770156019559,121.033492272465,116.555219552172,130.20093539604,121.455903429387
9,NAL+KET,M,150.723500044309,128.779612279832,338.468630429013,307.45184270574,100.178957968117,47.4977929404427,42.2128512703346,22.655151586059,16.2847036023469,31.8546456691525
1,VEH+KET,M,43.4171659708735,67.5672387670315,178.362921287701,235.523155076998,79.4678114766382,9.98632730662291,8.21996907021295,27.6677154139995,5.03734243865678,1.90979322514036
2,VEH+KET,M,156.257553439422,170.514570031764,240.650654412143,276.89744933434,77.4674849851089,32.5518354626031,30.8751505751725,16.1037990603276,29.2421847210603,58.8033575514379
3,VEH+KET,M,292.241786389912,276.577968195976,172.328659466836,419.669353306591,131.581790781076,35.1448313726986,96.879574135596,10.5877325901886,18.4098998658056,38.1879165344769
4,VEH+KET,M,190.418587035786,209.830896765886,245.320847490768,277.094997813398,116.459245389268,19.7308020688351,32.9924233537271,50.8797191534886,33.6725413268306,16.2702968610438
5,VEH+KET,M,118.338863811754,128.556423138045,209.07819422311,329.23435247488,103.340286448102,39.9827103446173,34.8194052731789,21.3095720926322,22.1808508183352,61.3091359531962
6,VEH+KET,M,64.1744178252857,87.1578610972599,223.561216665682,236.852817186435,118.475633774161,9.33848749946141,36.0621063057334,20.7017230445067,12.7106029232395,24.2694279591234
7,VEH+KET,M,77.5959351790065,61.3648256663629,84.4095269742322,108.013682755502,50.5663927019212,32.70890349598,29.281175287088,23.1019332353023,29.715552907404,15.3707082390294
8,VEH+KET,M,96.31174994924,103.950065480134,120.514559642927,161.530472986306,18.3015848845973,53.7888576583859,22.4926618032419,23.638368065672,29.1235158009513,40.9977812733886
9,VEH+KET,M,177.042164874412,245.281775861916,241.520573350951,362.324615392699,112.892224471438,44.3352049165901,30.6527827092754,22.8524205600201,24.3064047252919,28.1416693172177
1,NAL+VEH,M,19.6035957243216,23.2992036216628,4.4129216564315,30.1976915153247,19.0245740990505,47.9530225174444,12.7456643632524,20.9216446259598,5.41804245835774,6.38728368592338
2,NAL+VEH,M,-2.60180262698054,8.72085366889813,-21.4919076748673,-6.5383902836516,-14.1695173293764,-28.5009985366344,-22.7692923664715,-15.908020924781,-25.0156239815257,-21.8332604981397
3,NAL+VEH,M,10.8909897663646,3.98186928243443,-4.98512104000614,3.7079076775276,-0.871414715568554,0.0293665515933171,-1.36519582983738,0.853469109357539,0.17472291792347,0.486417029914472
4,NAL+VEH,M,20.2120597996653,15.4487379145545,45.1629397973716,77.8349467931322,24.6407666913335,18.6000375130605,10.7446575046557,8.44580734287748,8.12828547966254,17.5942461199139
5,NAL+VEH,M,54.0342414839927,40.7692532296013,82.3165958750169,43.0610004229925,71.5394444272362,49.6432811780006,20.8434023333242,30.1877502712446,13.1236413525755,7.76711631965617
6,NAL+VEH,M,22.9151440822923,27.2935320490158,14.0798508537325,21.7864095186433,3.2294113300814,7.41946172115718,3.31928586834841,-0.843708931899425,6.72951995127612,7.77452161440161
7,NAL+VEH,M,103.603439351115,83.5142592340053,56.4117435578028,82.1639665962279,-5.08951572322131,7.08267682421958,8.17401191989346,19.2157420466862,2.87833255577771,60.9200213812033
8,NAL+VEH,M,18.264560830729,23.5023357203223,135.284833919085,13.7923676415766,2.35956351706149,2.53671574618505,42.3883383677009,9.46018502081671,1.3291190393943,18.7468138726241
9,NAL+VEH,M,-21.8930502042235,-20.0165597422779,-37.7543527188087,-35.4603751406836,-23.7417751146313,-27.1164074738199,-17.2215907279849,-20.3988332735653,-31.3616556230936,-13.6279465312488
10,NAL+KET,F,99.8893344376631,93.1420624955799,137.391396103471,226.367747804467,63.5288424092922,20.1932868452787,12.4698288913165,6.72436247731861,10.5237722040876,10.8131841278966
11,NAL+KET,F,221.024230852905,183.417682590194,157.368078341259,279.437024811254,132.024812474543,21.978396677297,32.2643466996737,16.8873498178177,12.7870324106827,9.05018054406741
12,NAL+KET,F,122.219773109111,88.8769060340945,348.446046028067,296.229467974031,115.316216265196,48.9853557582617,21.707062374756,13.2623209123817,23.077472614204,29.0456321437723
