Animal_ID,deltatheta,alpha,beta,gamma
e1,0.61130488219853,0.898213965976337,0.904411691004764,0.327221265146564
e2,0.662085538171623,0.899522455738912,0.996272352367766,0.330249784655993
e3,0.854753097130087,0.940571753265506,0.967030048374492,0.56566811801799
e4,0.780107810436434,0.827155417337453,0.996678719391003,0.325519033286741
e5,0.919210100785414,0.971126241030926,0.714529315333458,0.271568407873608
