Animal_ID,Sex,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAcC,NAcSh
10,F,50.4989116627209,18.5131514198952,-5.06984838622535,46.3150005736136,22.6999127491774,6.59447266581479,1.03479527640702,0.773335238067714,9.87839379576736,10.8266251358608
11,F,-8.18974475207409,-3.73195778019881,4.60640032674466,-22.863781407583,-29.2155242545263,7.39752163281586,9.28936954462609,2.54957046111484,0.814440640512474,-2.07675779572466
12,F,-2.89549338557482,-0.197987980230513,-0.841873033787782,0.412325712071787,7.82145890678079,2.5244363798471,3.58164048206335,-2.49590364230421,-3.27962737919597,-1.78796839712849
13,F,25.0289336421697,2.22096479015384,14.6129847606822,38.4902434423639,45.0757529741011,24.3026105007976,6.06107257633661,6.28413765642939,9.69346396227465,5.76066457122975
14,F,15.5790238387402,5.19690454598636,25.2826798296856,7.28454852158124,68.4917504953147,3.71902407952397,34.1237656468611,31.6337594078809,26.3067659992198,15.4751795181914
15,F,16.243034530218,19.1203439999772,19.5378363576095,20.1972045402516,14.5549289914973,9.87583495031644,6.07930603836459,13.3108673680067,11.4060133484355,9.60432544822065
16,F,-21.3775283701749,-17.6518443677549,-10.0794994687752,-15.3341257172821,-19.4195649115054,-18.4591141550808,-5.8074538973691,-6.29079593258796,4.99354504773643,2.5062075140984
17,F,24.2785988843259,11.0593465194078,6.08783632642644,23.732944967497,14.691912386528,13.7365315470797,2.66972401581524,12.449426122696,11.5421458730734,6.46200138542828
18,F,1.2247086117756,-5.98502357244626,-4.0441570762978,-6.6762950961284,-7.72211902524288,-12.1526125550443,-13.926919213584,-4.95684857336674,-2.16311582980026,2.06752878981681
1,M,36.5390180189779,15.7397926102301,16.3047134206565,7.2849999907217,-9.4644708546778,11.1686160782772,9.71004982330096,17.4044330238563,33.6134611147042,27.5963578829069
2,M,-1.4769193029235,-6.06520188771179,0.123926328879373,-5.24791925303551,-8.6726431168601,-3.25448211261557,-7.1263493711879,6.80734287552364,8.83798528189953,6.04746638512806
3,M,-3.97833736303774,6.74112102556425,24.6987949691475,-8.15883002345421,-7.83258631365823,-22.5562377388723,4.81138059355522,0.632504449683513,-3.95403712202145,5.54795961255356
4,M,168.070880178428,217.241292013258,178.54286288718,154.011093088419,160.703064622036,131.686812914469,129.992331077442,46.251861740534,24.0617710311721,39.0367770187148
5,M,12.2859648429198,39.6007522748239,37.3166545612116,20.439600180811,44.4349058725653,32.4221392425708,28.0260506635976,13.9657583695254,27.1248584055033,11.8945413891557
6,M,18.4155232319629,11.3054931679676,11.4956956560721,5.38606324575949,10.8723040809983,13.3364275938867,4.27945382456078,10.6013464842214,14.266370359215,6.94259812531743
7,M,-18.6203713809317,11.8637098168851,3.76956866695921,3.29941148083095,27.6208099133504,11.9851019545027,11.897256900497,-3.61385463369974,14.7600277911472,9.03726248021695
8,M,41.9710572758022,78.9710436949942,15.1588033846975,12.7372696667533,32.7586715177071,67.9600336291564,51.5436020900311,34.0286956193855,9.69594805650092,18.0264924950309
9,M,-13.7139600094018,-1.62277749648262,4.51650062401005,-6.11847517301977,-3.65803497151266,-7.92282606166443,1.35113677979966,-2.72060499492389,5.57583654246144,-4.15398112670196
