ID,Group,Sex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
A1,VEH+KET,M,13163.6977258727,20037.2810437308,14785.7083730489,20166.5360205014,13533.3721101089,11317.6514081239,10022.3019604906,7499.66335377937,6730.43858067379,8738.0024545733,5014.15420015693,5689.90373019116,3925.04722605823,3904.33385519322,3198.95846045076,3956.98582288582,2357.91032149135,2559.09485338834,3355.1293729087
A2,VEH+KET,M,8513.03278681566,11622.4802573708,14994.4494903141,12726.8379250381,10975.0972428253,7269.62812064689,8726.86676237222,5515.12468053553,7475.14345878226,4761.966217448,5299.56456249457,6998.37185402724,5369.91221935502,6638.32416875682,3665.50246170015,2904.95878570817,3096.51859275973,3123.47978531033,4746.87283533081
C3,VEH+KET,M,648.289322509848,628.738172775198,3540.51679197814,3866.70990831441,4320.6648881967,4042.03614333662,4229.63694112651,1535.16706364962,250.825120905414,245.689350449955,321.302770720459,257.932820754311,369.823988299927,311.327328116963,401.693302456701,890.133479531472,1111.98498023331,2376.53396530497,2717.93875027817
C4,VEH+KET,M,2799.49542975001,7826.16432603135,8036.55680169649,8850.19265388676,7064.03754183911,6253.31806452477,5490.02339309208,3725.98883038805,2118.85388003951,1550.39550915034,1107.88807722247,1757.92397585367,1305.02264681314,1077.81334596382,2399.53262096976,2974.92725090665,2208.56885537984,4236.44004920306,2841.43878646605
F3,VEH+KET,M,5665.27733802772,5801.12429494893,5800.51132113567,5030.81027613462,4989.54883589171,4217.36839453559,4684.21090074234,4797.23069088856,3315.25312584521,2647.71619228843,1549.98271918548,2507.6264092773,1414.86714541019,727.837612765359,1296.52797078973,885.933759842581,728.403463051434,1408.20261065956,2424.98826708866
F4,VEH+KET,M,6575.16695275897,8023.71511856068,7601.28749046272,5977.30675617646,5627.30723283605,3090.71172960241,3791.20853076196,3610.44175588913,4526.37979182892,4531.26468419759,3752.91310673614,3271.85473452976,3227.53994072394,2990.09001965143,2993.80469283734,2941.34021800973,2455.22796212263,1832.86014722745,1849.93011476692
G3,VEH+KET,M,6275.30157601212,8186.3768227809,8045.12022574308,7470.88988949146,6043.38604067581,4680.29155188958,5575.55813543788,5703.5768575117,3010.05232615397,2625.47459573601,2347.85297607375,4068.02052990394,4084.91269745471,4125.6110872181,1488.25782186328,2382.06937267965,3012.81766182744,4098.77902994224,2058.68495303477
G4,VEH+KET,M,8222.53176621647,10462.4923128038,8284.83720374166,6114.79928359947,5331.3863045022,4099.74248673932,3282.25103954791,3534.61366918428,3481.08553963716,2290.93279931473,2342.22238533092,2591.43814226678,2568.27062124378,2808.18430440143,1783.37935708229,2673.19104449182,2527.7413694602,2722.03513662746,1970.84744101013
A3,VEH+KET,F,3977.54859080473,8288.05412791152,11347.8861182262,8625.30535676615,8381.31893160823,6016.27905613619,6098.26125642027,7164.29122756408,8790.05705132285,5871.60753157317,5107.366624422,5330.20370001817,6208.48542137377,6462.28836636423,4800.23894481816,3848.84865150712,3502.2632322747,3512.4735416403,5934.71256808502
A4,VEH+KET,F,3154.54573243938,5061.34476323964,11348.4140312372,7870.06279290005,6418.89147324578,6155.06361250666,7653.91728817785,8371.23047144063,6036.43236753435,3931.87508579546,3289.20541850677,4054.85244926865,4914.99633847575,3146.71846101682,3861.14970295058,2470.20160151247,2672.33436285545,2777.94807370996,3655.69971589145
D3,VEH+KET,F,12091.4868310329,12323.5845239527,12761.2909454444,11289.4333065632,10593.0191628401,9293.48225204176,8604.21244538138,6976.04170476458,7388.60569427451,6162.08402943818,5923.40995186616,4092.83231703832,4033.5830219157,4224.09694989057,2963.75162807838,3970.24857978751,4733.90895333647,2510.7575408382,3887.45329829831
D4,VEH+KET,F,2952.66104452973,8399.00541115472,8194.03363775907,7839.9393955978,5016.65511441528,6680.98540067377,7789.99927758647,4310.99352494373,4871.43936583704,6523.42485954299,5573.11904005572,6552.09097050522,4828.50754415946,4605.87554886806,4952.09923770951,3974.45930409141,3771.23655204525,3777.21324667773,4323.06961476416
H3,VEH+KET,F,5221.52276602598,9921.80811829412,19626.2608619433,21752.3556611972,14028.2323495768,13399.7681048379,12850.9830403222,11482.1651940203,8895.85245483135,6520.41345886631,7954.4658062807,6492.63208943294,6920.93730267254,5729.21413585183,6023.3648502414,4979.04870861976,3666.39546537268,5284.06905228523,4215.37749914723
H4,VEH+KET,F,5704.28673422515,4065.4078181072,3747.06207612456,3126.56996275451,2417.16552621551,3028.17657848195,2562.94023362013,2420.34406473821,2940.10195938614,3089.00355676142,3627.18557661055,3977.76292302724,2482.0512910655,3955.29059685137,4141.03608152496,2950.19723980454,1321.67786898647,1612.79959949778,2123.5399191578
J3,VEH+KET,F,8286.10682758312,12307.5631908939,13650.6797211506,11222.8720618399,9711.07183139742,7278.21931226095,9453.89601477664,8447.24721299569,7174.9188522129,6341.60612765052,4586.14771882342,5009.78025993937,8003.80828602854,5593.63232140825,5366.86324240232,4528.43605988609,4153.41447619207,4913.80261956227,2877.36132170442
