Animal_ID,Sex,LPtA,MPtA,RSG,RSD,Hipp,LHb,LPLR,VM,VPM,VPL
1,M,-19.9592366725189,-14.4631563830021,73.2062694040045,-0.631753154443498,51.2284748390575,17.3931971034064,35.1569911004416,13.8867007195108,36.160885272981,50.0933270624296
2,M,87.1978680061429,101.346626826794,226.509763329406,191.4227286806,146.364952810955,143.393485737085,176.826263111992,79.2755296387699,121.262329320124,199.134053827616
3,M,104.235198209612,122.657753271459,322.347056359691,352.032707119819,169.348041807868,131.450208651779,210.737362345929,64.2212552849273,84.7047168562674,103.627791784974
4,M,-2.824620560773,81.631077012612,262.277210448389,193.987470367583,115.850129084836,-3.4250811670045,96.3119384076253,34.1777837288308,17.4083402912033,21.6078492515182
5,M,16.3483459696414,130.629887031616,169.917589715095,295.154246683717,-4.68562968889921,-23.8323029457535,0.4509581726421,20.4218346628143,0.964009053076399,7.90164611605783
6,M,51.0196595370629,66.3575510785122,172.443226650698,114.869762889442,71.4077047880099,59.3240673947521,44.2191633369029,23.9311868044914,24.8149452251195,40.6478401022007
7,M,-1.61333564538999,-2.3540870114378,70.0358509029942,279.108708790276,61.0920691444128,37.8272794000204,44.8200992617778,12.3423161213401,20.042155043723,-39.6195780606066
8,M,81.5995553662941,91.0314616182267,267.495879246219,287.144858025433,128.170274683,154.233440273374,78.6451539047641,107.095034531355,128.871816356646,102.709089556763
9,M,172.616550248532,148.79617202211,376.222983147822,342.912217846424,123.920733082748,74.6142004142626,59.4344419983195,43.0539848596243,47.6463592254405,45.4825922004013
10,F,62.3222517597454,81.3018638892413,136.934492238798,215.125560923738,61.6392666322007,20.1670900389051,10.5628199134239,7.28995982516625,10.8057346983137,11.1488439827799
11,F,216.468027427311,174.174023429439,151.562023503974,274.674447599125,126.575125307588,16.9178035968711,30.8756006948797,16.2908113378501,11.932900197836,6.91784467943289
12,F,129.201557412151,84.682985627963,351.169879464827,291.950586597889,116.643345660765,48.6075437652318,26.0396323050483,16.1287343508777,26.1487288092152,30.9756359409513
13,F,76.0637961950905,40.9891813624032,251.689929367588,491.417447407317,70.5015323916901,44.757925122963,42.6136166485732,28.0163191478247,23.9820887375253,29.9474465852299
14,F,118.793995499354,116.283032631684,310.511235464679,769.925605969455,111.925195440796,24.9762654424339,36.8772050726214,16.7469043469411,19.1013202954964,4.80815324245146
15,F,105.835675764158,58.7336584680729,219.1846292083,166.34995951249,31.7927464203394,30.2366201599799,24.6400655160447,11.9710632607226,19.5511435763116,15.2708133622653
16,F,81.5274828060249,82.331702045064,273.270371358336,197.402393593125,31.5360289359325,2.7823370037076,1.1482326087064,-2.15591524080263,-2.03350215924224,5.93643565021921
17,F,178.320092533474,217.044017945265,329.944730796164,394.324212254908,50.4588640236852,50.7784302711918,26.6853170735126,21.0103643788913,12.4585047631497,25.1258116578904
18,F,-0.9138485065053,-7.4072419397888,207.11388906297,136.933323964299,115.951848186918,78.3330174496761,28.6315363367428,41.1814252124098,15.2892116414257,9.31513472863492
